,fun,is_original,log10_dt,n,name,times
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.641703e+00,2560,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.712729e+00,3840,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.796505e+00,3840,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.064489e+00,3840,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.007974e+00,3840,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.349340e+00,3840,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.351913e+00,3840,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.366655e+00,3840,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-3.903444e-01,3840,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.448045e+00,3840,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,2.110353e-01,3840,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.260894e+00,3840,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.788907e+00,3840,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.257518e+00,3840,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.777990e+00,3840,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.347395e+00,3840,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.567852e+00,3840,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.591037e+00,5120,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.756211e+00,5120,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-1.937535e+00,5120,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-3.987035e+00,5120,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.224612e+00,5120,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.222492e+00,5120,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.620579e+00,5120,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-1.819335e-01,5120,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.700339e+00,5120,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,5.849769e-01,5120,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.139148e+00,5120,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.699820e+00,5120,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.139231e+00,5120,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.687294e+00,5120,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.251077e+00,5120,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.518716e+00,5120,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.496770e+00,6400,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.720598e+00,6400,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-1.844200e+00,6400,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-3.947927e+00,6400,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.123911e+00,6400,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.119698e+00,6400,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.818851e+00,6400,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-2.101603e-02,6400,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.897586e+00,6400,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,8.166624e-01,6400,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.045083e+00,6400,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.619932e+00,6400,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.048332e+00,6400,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.599099e+00,6400,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.178939e+00,6400,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.474360e+00,6400,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.422535e+00,7680,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.685537e+00,7680,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-1.766010e+00,7680,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-3.924525e+00,7680,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.050224e+00,7680,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.051206e+00,7680,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.972203e+00,7680,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,1.129361e-01,7680,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,2.048839e+00,7680,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,9.945438e-01,7680,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-1.963108e+00,7680,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.552873e+00,7680,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-1.962785e+00,7680,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.541694e+00,7680,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.100360e+00,7680,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.423209e+00,7680,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-2.172964e+00,1280,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.910071e+00,1280,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.539192e+00,1280,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.097615e+00,1280,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.829547e+00,1280,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.831208e+00,1280,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,4.098372e-01,1280,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-1.087649e+00,1280,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,4.900505e-01,1280,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,-8.973608e-01,1280,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.731329e+00,1280,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-4.103870e+00,1280,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.737859e+00,1280,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-4.067384e+00,1280,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.674487e+00,1280,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.717901e+00,1280,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.887371e+00,2560,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.850344e+00,2560,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.245447e+00,2560,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.059238e+00,2560,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.527847e+00,2560,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.531756e+00,2560,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.018526e+00,2560,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-6.626502e-01,2560,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.099251e+00,2560,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,-2.802920e-01,2560,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.439675e+00,2560,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.919807e+00,2560,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.443625e+00,2560,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.896022e+00,2560,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.491834e+00,2560,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.639047e+00,2560,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.717515e+00,3840,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.803429e+00,3840,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-2.068039e+00,3840,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-4.020958e+00,3840,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.354077e+00,3840,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.355046e+00,3840,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.365221e+00,3840,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-3.907158e-01,3840,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.442032e+00,3840,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,1.982342e-01,3840,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.270051e+00,3840,svd_ent,10
11,<function <lambda> at 0x7fb2aef4ed70>,False,-3.798436e+00,3840,svd_ent,100
12,<function <lambda> at 0x7fb2aef4ede8>,True,-2.271509e+00,3840,fisher_info,10
13,<function <lambda> at 0x7fb2aef4ee60>,False,-3.784788e+00,3840,fisher_info,100
14,<function <lambda> at 0x7fb2aef4eed8>,True,-3.359986e+00,3840,spectral_entropy,100
15,<function <lambda> at 0x7fb2aef4ef50>,False,-3.578183e+00,3840,spectral_entropy,100
0,<function <lambda> at 0x7fb2aef4e848>,True,-1.595368e+00,5120,hfd,100
1,<function <lambda> at 0x7fb2aef4e8c0>,False,-2.760605e+00,5120,hfd,100
2,<function <lambda> at 0x7fb2aef4e938>,True,-1.942362e+00,5120,hjorth,100
3,<function <lambda> at 0x7fb2aef4e9b0>,False,-3.980423e+00,5120,hjorth,100
4,<function <lambda> at 0x7fb2aef4ea28>,True,-2.230313e+00,5120,pfd,100
5,<function <lambda> at 0x7fb2aef4eaa0>,False,-2.229124e+00,5120,pfd,100
6,<function <lambda> at 0x7fb2aef4eb18>,True,1.622089e+00,5120,samp_ent,2
7,<function <lambda> at 0x7fb2aef4eb90>,False,-1.879631e-01,5120,samp_ent,10
8,<function <lambda> at 0x7fb2aef4ec08>,True,1.701793e+00,5120,ap_ent,2
9,<function <lambda> at 0x7fb2aef4ec80>,False,5.733691e-01,5120,ap_ent,10
10,<function <lambda> at 0x7fb2aef4ecf8>,True,-2.146794e+00,5120,svd_ent,10
